"Statistic Label","Year","Engine Capacity cc","Car Make","Emission Band","Licensing Authority","UNIT","VALUE"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","1992"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","1064"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","15063"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","2055"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","1017"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","14818"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","631"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","322"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","4773"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","136"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","91"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","1202"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","29"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","18"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","443"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","15"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","13"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","156"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","6"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","4"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","72"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","3"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","2"
"New Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","20"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","2392"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","1454"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","18289"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","1890"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","953"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","13712"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","433"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","194"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","2867"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","64"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","33"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","445"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","9"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","10"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","221"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","13"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","6"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","70"
