"STATISTIC Label","Year","Taxation Class","Type of Fuel","UNIT","VALUE"
"New and Secondhand Vehicles","2012","Secondhand Tractors","Petrol","Number","4"
"New and Secondhand Vehicles","2012","Secondhand Tractors","Diesel","Number","1777"
"New and Secondhand Vehicles","2012","Secondhand Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2012","Secondhand Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2012","Secondhand Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2012","Secondhand Other Vehicles","All fuel types","Number","3437"
"New and Secondhand Vehicles","2012","Secondhand Other Vehicles","Petrol","Number","1281"
"New and Secondhand Vehicles","2012","Secondhand Other Vehicles","Diesel","Number","2133"
"New and Secondhand Vehicles","2012","Secondhand Other Vehicles","Other fuel types","Number","2"
"New and Secondhand Vehicles","2012","Secondhand Other Vehicles","Electric","Number","1"
"New and Secondhand Vehicles","2012","Secondhand Other Vehicles","Hybrid","Number","20"
"New and Secondhand Vehicles","2012","Secondhand Motor Cycles","All fuel types","Number","1522"
"New and Secondhand Vehicles","2012","Secondhand Motor Cycles","Petrol","Number","1518"
"New and Secondhand Vehicles","2012","Secondhand Motor Cycles","Diesel","Number","3"
"New and Secondhand Vehicles","2012","Secondhand Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2012","Secondhand Motor Cycles","Electric","Number","1"
"New and Secondhand Vehicles","2012","Secondhand Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2012","All Private Cars","All fuel types","Number","114725"
"New and Secondhand Vehicles","2012","All Private Cars","Petrol","Number","23888"
"New and Secondhand Vehicles","2012","All Private Cars","Diesel","Number","88668"
"New and Secondhand Vehicles","2012","All Private Cars","Other fuel types","Number","1199"
"New and Secondhand Vehicles","2012","All Private Cars","Electric","Number","165"
"New and Secondhand Vehicles","2012","All Private Cars","Hybrid","Number","805"
"New and Secondhand Vehicles","2012","All Goods Vehicles","All fuel types","Number","15586"
"New and Secondhand Vehicles","2012","All Goods Vehicles","Petrol","Number","17"
"New and Secondhand Vehicles","2012","All Goods Vehicles","Diesel","Number","15529"
"New and Secondhand Vehicles","2012","All Goods Vehicles","Other fuel types","Number","1"
"New and Secondhand Vehicles","2012","All Goods Vehicles","Electric","Number","33"
